# PSW
# energy
# SPIRE Herschel
3510003 0.00002
3521126 0.00002
3533568 0.00002
3546099 0.00001
3558718 0.00001
3571428 0.00001
3582945 0.00001
3595828 0.00001
3608805 0.00001
3621876 0.00001
3635041 0.00001
3646973 0.00001
3660322 0.00001
3673769 0.00001
3687315 0.00001
3699593 0.00001
3713330 0.00001
3727171 0.00001
3741114 0.00001
